"abany","abpoor","age","attend","bigbang","cappun","childs","class","closeblk","degree","educ","evolved","fear","fechld","fefam","getahead","gunlaw","happy","hrs1","income06","letdie1","letin1","marhomo","marital","news","obey","paeduc","parsol","partnrs5","pillok","polviews","postlife","pray","premarsx","PRES08","racecen1","rank","relig","region","satjob","sex","sexfreq","spanking","SPKMSLM","thnkself","trust","tvhours","wwwhr","xmarsex"
,,34,7,,1,3,2,,1,12,,,2,3,,,2,40,18,1,3,,5,5,1,,4,2,4,4,1,1,2,,1,7,1,9,2,2,2,3,,2,2,1,30,
2,1,62,0,,1,1,3,8,1,12,,2,,,1,1,3,,19,,,5,1,,3,,2,1,,2,2,2,,2,1,4,2,9,1,1,3,,2,4,1,,,1
1,1,24,4,,1,0,2,7,1,12,,1,3,3,1,2,3,46,25,2,5,1,1,5,,12,,1,2,7,1,2,4,,1,6,2,9,2,2,1,3,2,,,1,,1
,,29,1,,,0,3,,3,16,,,4,3,,,2,40,19,1,3,,5,5,4,13,3,5,4,2,1,4,4,,2,4,4,9,2,1,5,2,,3,1,2,50,
1,1,34,4,,2,3,2,9,1,12,,2,,,1,2,3,86,18,,,1,5,,4,,3,4,,2,1,1,,1,2,5,1,9,2,1,4,,2,1,1,,,1
,,36,5,2,2,4,2,,1,13,2,,3,3,,,2,,10,2,4,,5,2,1,12,2,1,2,4,1,1,4,1,2,5,1,9,3,2,6,2,,4,2,9,6,
2,1,74,8,2,2,3,3,1,0,8,2,2,,,1,1,2,,12,,,4,1,,1,8,4,,,5,1,1,,1,1,6,1,9,,1,,,2,5,2,,,1
,,49,4,,1,2,3,,3,16,,,3,3,,,2,40,25,1,4,,1,1,5,18,1,1,1,6,1,5,4,,4,5,4,9,1,2,4,4,,3,2,1,30,
1,1,60,0,,1,2,3,5,3,16,,1,3,4,3,1,2,40,23,1,3,1,3,1,,,,0,1,1,2,6,4,1,4,7,4,9,2,1,,2,1,,,3,25,3
2,2,78,7,,1,3,2,5,3,16,,2,,,1,1,3,25,5,,,5,3,,4,10,5,9,,7,1,3,,2,2,6,1,9,2,1,4,,1,1,1,,,1
,,73,3,,1,2,4,,3,16,,,2,3,,,3,,9,1,3,,3,2,5,18,4,4,2,4,,5,4,2,1,8,1,9,,1,,2,,1,1,3,1,
2,2,67,8,2,2,2,3,5,2,16,2,1,,,1,1,2,15,11,,,5,2,,2,,1,0,,5,1,1,,2,4,7,1,9,1,2,,,2,3,2,,,1
2,2,82,0,1,1,0,2,5,0,11,,1,,,1,1,3,,9,,,3,4,,3,12,,,,6,1,5,,,1,,2,9,,2,,,2,1,2,,,1
,,64,7,,,1,3,,1,14,,,3,3,,,2,,13,2,3,,5,4,1,,1,,,2,1,1,,1,2,2,2,9,,2,,3,,2,1,7,,
2,2,27,7,,2,1,2,9,2,14,,1,,,1,1,2,40,16,,,1,5,,4,14,1,2,,4,1,2,,1,5,3,2,9,1,2,5,,1,3,2,,,1
1,1,41,6,,,2,2,5,1,14,,1,3,2,3,1,2,40,17,1,3,5,4,2,,4,,2,3,4,1,2,4,1,1,6,2,9,2,1,2,2,1,,,3,21,3
,,33,0,,2,3,2,,0,9,,,3,2,,,3,30,6,1,3,,5,3,1,,1,1,3,6,1,2,4,,1,5,4,9,4,2,3,2,,3,2,2,14,
2,2,49,5,,2,5,2,9,0,6,,1,,,1,1,2,,13,,,4,5,,2,6,2,,,2,2,2,,,1,6,2,9,1,2,,,2,1,2,,,1
2,2,22,2,,1,0,2,5,0,11,,2,3,2,1,1,2,60,20,1,3,2,5,4,,,,2,3,2,1,2,4,,5,7,2,9,1,1,5,3,1,,,2,5,1
,,42,5,,2,2,1,,0,6,,,3,2,,,1,40,10,2,3,,1,5,4,0,1,,1,6,2,2,4,,5,8,2,9,4,2,,2,,1,2,1,,
2,2,28,4,1,2,3,1,5,0,11,1,2,,,1,1,2,24,10,,,2,5,,1,2,4,,,4,1,3,,,5,8,2,9,2,2,,,2,2,2,,,1
,,66,7,2,2,2,3,,1,14,2,,3,2,,,1,,13,1,4,,2,2,4,8,2,1,3,4,1,2,3,1,1,4,1,9,,2,,3,,2,1,0,2,
1,1,35,0,,2,0,2,3,1,13,,1,,,3,1,3,,19,,,1,5,,4,,1,5,,1,1,1,,,5,5,4,9,,2,5,,2,1,2,,,3
1,1,63,2,1,2,1,2,9,1,14,1,2,,,2,2,2,41,19,,,1,3,,5,13,2,6,,6,1,3,,1,1,2,5,9,1,1,4,,1,2,1,,,3
,,31,0,,1,1,2,,1,13,,,2,3,,,1,40,21,1,3,,5,2,4,9,2,2,3,4,,3,4,,1,5,4,9,1,1,6,2,,3,1,4,10,
2,2,29,0,,1,1,3,5,3,17,,1,,,1,1,1,,21,,,5,1,,1,18,1,1,,2,1,5,,,4,5,5,9,1,2,3,,2,2,2,,,1
2,2,50,7,,1,1,3,3,3,17,,2,3,4,1,1,1,45,20,1,3,1,4,5,,17,,4,1,4,1,1,4,,,3,1,9,1,1,3,1,2,,,2,21,1
1,1,65,3,,2,2,4,5,1,12,2,2,,,1,1,2,60,20,,,2,3,,5,12,1,2,,2,,2,,1,1,5,1,9,2,2,3,,2,1,,,,1
,,62,2,,1,2,1,,1,13,,,3,2,,,2,40,21,2,,,1,3,4,9,5,1,4,5,2,3,4,2,1,6,3,9,2,1,5,2,,1,1,2,1,
1,1,18,2,,1,0,2,5,1,13,,1,3,3,1,1,2,,,1,3,2,5,3,,12,,,1,2,,1,4,,,4,3,9,,2,,3,1,,,3,30,1
,,40,0,,2,0,1,,1,14,,,4,3,,,3,,9,1,4,,5,5,5,12,5,9,2,1,1,2,4,1,1,2,4,9,,2,,3,,1,2,1,,
1,1,28,7,,,0,3,7,3,16,,1,,,1,1,2,40,18,,,1,5,,4,14,1,1,,4,1,4,,2,5,6,2,9,2,2,,,1,1,2,,,1
,,24,4,,2,0,3,,3,16,,,4,3,,,2,20,19,2,2,,5,1,5,17,2,4,3,4,1,1,,1,4,3,2,9,2,1,4,4,,2,1,1,25,
1,1,40,0,1,2,1,3,6,4,16,1,1,,,3,1,2,43,22,,,2,1,,5,14,3,1,,4,2,6,,,1,4,1,9,2,1,3,,1,2,1,,,2
,,77,7,,2,2,3,,3,15,,,4,3,,,1,,8,2,1,,2,2,3,12,,,3,2,,2,1,1,4,5,1,9,,2,,3,,4,1,1,15,
2,2,24,0,,1,0,1,7,2,15,,1,4,4,1,1,1,20,,1,3,1,5,5,,12,,2,2,3,2,6,4,,1,,4,9,1,2,3,2,1,,,1,5,1
1,1,21,0,,2,0,3,7,1,14,,1,,,1,2,2,,2,,,1,5,,5,20,1,1,,4,1,6,,,4,5,4,9,,2,6,,1,1,2,,,1
2,2,22,5,,1,0,4,9,1,15,,1,3,3,1,1,1,,8,1,3,2,5,3,,20,,0,4,5,1,2,4,2,1,3,1,9,,2,,4,2,,,3,70,1
,,24,2,,1,0,3,,2,16,,,3,4,,,1,,1,1,4,,5,1,5,16,2,2,2,4,1,5,4,1,1,7,2,9,,1,3,3,,1,2,3,18,
,,21,0,,1,0,4,,1,15,,,3,2,,,1,16,,1,3,,5,5,5,17,1,0,1,5,1,6,4,,1,3,4,9,1,1,,2,,2,2,1,30,
2,2,67,7,1,2,3,3,5,4,16,2,2,,,3,1,2,,16,,,2,3,,2,,1,0,,2,1,1,,,1,8,1,9,,1,,,1,5,2,,,1
,,32,7,,1,1,3,,3,19,,,4,3,,,1,40,21,1,5,,1,5,4,20,3,1,3,6,1,1,1,2,1,,1,9,1,2,4,3,,1,1,1,2,
1,1,38,3,,2,4,2,1,0,9,,2,,,1,1,2,50,18,,,1,1,,1,16,2,1,,7,2,2,,,5,5,2,9,3,1,6,,2,2,2,,,1
2,2,55,7,,1,3,2,5,1,12,,1,1,1,3,1,2,,24,1,5,2,1,3,,,,1,2,6,1,1,4,2,1,3,2,9,2,2,5,2,1,,,3,,1
1,1,40,4,2,1,3,2,7,1,14,1,2,,,3,1,3,40,19,,,5,3,,5,20,2,1,,4,2,5,,1,1,7,2,9,2,1,5,,1,2,2,,,2
2,2,38,8,2,1,2,2,7,1,11,2,2,,,1,2,1,60,23,,,5,1,,4,12,1,2,,6,1,1,,2,1,7,1,9,1,1,5,,1,3,2,,,1
,,34,7,,1,4,3,,3,16,,,1,2,,,2,,23,2,3,,1,3,3,12,2,1,2,4,1,1,3,1,2,4,1,9,2,2,4,3,,1,2,1,7,
,,22,3,,2,0,3,,3,16,,,2,3,,,2,45,9,1,4,,5,1,5,16,1,4,1,3,1,2,3,,1,8,1,9,2,2,4,2,,1,2,1,20,
1,1,56,2,,,2,3,5,3,17,,2,4,4,1,1,1,40,25,1,3,2,1,1,,18,,1,3,4,2,,4,,1,3,4,9,1,1,2,2,1,,,1,5,1
